price	volume	time	buy/sell	market/limit	miscellaneous	Since
1.177386	18.66500088	1606811242.2354	b	l		1606777200.0
1.179000	30.00000000	1606811269.0744	b	l		1606777200.0
1.184596	18.66500088	1606811271.6831	b	l		1606777200.0
1.185000	13.59000000	1606811271.6865	b	l		1606777200.0
1.186244	10.01000000	1606811280.7446	b	l		1606777200.0
1.187775	61.37945289	1606811310.007	s	m		1606777200.0
1.190000	10.02003907	1606811315.3008	b	l		1606777200.0
1.190000	19.97995496	1606811319.0954	b	l		1606777200.0
1.190000	0.00000597	1606811319.1081	b	l		1606777200.0
1.191851	18.66498903	1606811319.111	b	l		1606777200.0
1.191851	0.00001185	1606811388.9082	b	l		1606777200.0
1.199150	134.29692408	1606811388.9103	b	l		1606777200.0
1.187753	29.92220227	1606811388.9176	s	m		1606777200.0
1.187753	0.07759598	1606811388.9205	s	m		1606777200.0
1.187753	0.00020123	1606811388.9229	s	m		1606777200.0
1.187753	0.00000052	1606811388.9256	s	m		1606777200.0
1.185283	10.02001167	1606811455.1716	s	l		1606777200.0
1.180841	16.89931643	1606811507.46	s	l		1606777200.0
1.173653	17.00281575	1606811551.3149	s	l		1606777200.0
1.173548	10.02008396	1606811614.476	s	l		1606777200.0
1.170300	345.11108263	1606811641.865	s	m		1606777200.0
1.166509	17.10694535	1606811641.8691	s	m		1606777200.0
1.161929	10.02001800	1606811641.8712	s	m		1606777200.0
1.159410	427.24087840	1606811641.8728	s	m		1606777200.0
1.159409	133.33032570	1606811641.8746	s	m		1606777200.0
1.176653	10.01000000	1606811875.5899	b	l		1606777200.0
1.177386	17.10694535	1606811875.5942	b	l		1606777200.0
1.166510	11.43446253	1606812441.8236	s	l		1606777200.0
1.166509	17.10694535	1606812441.8329	s	l		1606777200.0
1.161929	10.02001800	1606813432.2502	s	l		1606777200.0
1.159408	17.21171987	1606813547.9631	s	l		1606777200.0
1.154745	11.43443961	1606813679.2897	b	l		1606777200.0
1.154746	418.56556039	1606813679.3008	b	l		1606777200.0
1.152350	17.31713951	1606813679.3115	s	m		1606777200.0
1.150425	10.02007910	1606813679.3138	s	m		1606777200.0
1.145336	17.42318910	1606813679.3153	s	m		1606777200.0
1.144076	537.63372883	1606813679.3167	s	m		1606777200.0
1.144075	379.82683496	1606813679.3182	s	m		1606777200.0
1.144012	2034.11761679	1606813679.32	s	m		1606777200.0
1.144012	3.65483301	1606813679.3251	s	m		1606777200.0
1.144012	0.00656688	1606813679.3298	s	m		1606777200.0
1.144012	0.00001180	1606813679.3335	s	m		1606777200.0
1.156015	17.42318910	1606815578.9598	b	m		1606777200.0
1.161100	429.39884162	1606815578.9681	b	m		1606777200.0
1.161100	0.60031793	1606815578.9699	b	m		1606777200.0
1.161100	0.00083928	1606815578.9712	b	m		1606777200.0
